Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C6,C8,C9",C_0402_1005Metric,C307331,3
100nF,"C11,C3",C_0402_1005Metric,C307331,2
10k,"R4,R6,R7,R8",R_0402_1005Metric,C25744,4
10uF,"C10,C7",C_0603_1608Metric,C13585,2
1K,R3,R_0402_1005Metric,C11702,1
22uF,"C1,C12,C13,C2",C_0603_1608Metric,C59461,4
3V3,J9,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,C1509679,1
4.7uH,L1,L_Bourns-SRN8040_8x8.15mm,C36417,1
5.1K,"R1,R2",R_0402_1005Metric,C25905,2
500SSP1S2M2QEA,S1,SW_500SSP1S2M2QEA,C92655,1
AP63205WU,U1,TSOT-23-6,C2071056,1
AP7361C-33E,U3,SOT-223-3_TabPin2,C500795,1
ESP32-C3-WROOM-02,U2,ESP32-C3-WROOM-02,C2944070,1
PWRLED,D1,LED_0603_1608Metric,C2286,1
SK6812,D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,C2886570,1
SN74AHCT125DR,U4,SOIC127P600X175-14N,C155176,1
SW_Push,"SW1,SW2",SW_PUSH_6mm,C111374,2
Screw_Terminal_01x04,J2,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,C1509680,1
Screw_Terminal_01x12,J3,TerminalBlock_MaiXu_MX126-5.0-12P_1x12_P5.00mm,C1509686,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Vin,J6,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,C1509679,1
